ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,data_source,ma_short,ma_long,signal,position,daily_ret,strategy_ret,strategy_nav,bh_nav,strategy_dd,bh_dd
000776.SZ,20260212,21.48,21.49,21.1,21.13,21.5,-0.370000000000001,-1.7209302325581444,488927.0,,tushare_legacy_get_k_data,21.45,21.932666666666666,0,0.0,-0.017209302325581488,-0.0,0.9029878121951447,1.2466076696165183,0.13069291288658236,0.1350798198935741
000776.SZ,20260213,21.19,21.32,21.1,21.13,21.13,0.0,0.0,318448.0,,tushare_legacy_get_k_data,21.418,21.854,0,0.0,0.0,0.0,0.9029878121951447,1.2466076696165183,0.13069291288658236,0.1350798198935741
000776.SZ,20260224,21.11,21.23,20.93,20.99,21.13,-0.1400000000000005,-0.6625650733554216,353212.0,,tushare_legacy_get_k_data,21.274,21.739333333333335,0,0.0,-0.006625650733554256,-0.0,0.9029878121951447,1.2383480825958693,0.13069291288658236,0.14081047891936216
000776.SZ,20260225,21.0,21.23,20.88,20.91,20.99,-0.0799999999999983,-0.381133873272979,543490.0,,tushare_legacy_get_k_data,21.131999999999998,21.632666666666662,0,0.0,-0.003811338732729763,-0.0,0.9029878121951447,1.23362831858407,0.13069291288658236,0.1440851412198123
000776.SZ,20260226,20.9,20.99,20.75,20.81,20.91,-0.1000000000000014,-0.478240076518419,294128.0,,tushare_legacy_get_k_data,20.994,21.51533333333333,0,0.0,-0.004782400765184214,-0.0,0.9029878121951447,1.2277286135693206,0.13069291288658236,0.14817846909537524
000776.SZ,20260227,20.8,21.01,20.76,20.84,20.81,0.0300000000000011,0.1441614608361419,356003.0,,tushare_legacy_get_k_data,20.936,21.377333333333336,0,0.0,0.0014416146083613413,0.0,0.9029878121951447,1.2294985250737454,0.13069291288658236,0.1469504707327064
000776.SZ,20260302,20.64,20.75,20.22,20.67,20.84,-0.1699999999999981,-0.815738963531661,512867.0,,tushare_legacy_get_k_data,20.844,21.256000000000004,0,0.0,-0.008157389635316648,-0.0,0.9029878121951447,1.2194690265486716,0.13069291288658236,0.1539091281211632
000776.SZ,20260303,20.67,21.01,20.4,20.53,20.67,-0.1400000000000005,-0.6773101112723781,536006.0,,tushare_legacy_get_k_data,20.752,21.176666666666666,0,0.0,-0.006773101112723778,-0.0,0.9029878121951447,1.2112094395280226,0.13069291288658236,0.15963978714695115
000776.SZ,20260304,20.42,20.45,19.9,19.97,20.53,-0.5600000000000023,-2.7277155382367377,522930.0,,tushare_legacy_get_k_data,20.564,21.079333333333334,0,0.0,-0.027277155382367413,-0.0,0.9029878121951447,1.1781710914454266,0.13069291288658236,0.18256242325010308
000776.SZ,20260305,20.2,20.23,19.87,19.92,19.97,-0.0499999999999971,-0.2503755633450033,348624.0,,tushare_legacy_get_k_data,20.386,20.966,0,0.0,-0.0025037556334500666,-0.0,0.9029878121951447,1.175221238938052,0.13069291288658236,0.1846090871878845
