ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,data_source
600036.SH,20260122,37.267,37.577,36.797,36.847,37.237,-0.39000000000000057,-1.047345382281066,1877546.0,,tushare_legacy_get_k_data
600036.SH,20260123,36.847,37.167,36.377,36.497,36.847,-0.3500000000000014,-0.9498738024805313,1892113.0,,tushare_legacy_get_k_data
600036.SH,20260126,36.497,37.297,36.307,37.017,36.497,0.5200000000000031,1.4247746390114342,2166794.0,,tushare_legacy_get_k_data
600036.SH,20260127,37.057,37.507,36.867,37.097,37.017,0.0799999999999983,0.21611691925331142,1572406.0,,tushare_legacy_get_k_data
600036.SH,20260128,37.117,37.437,36.697,36.797,37.097,-0.30000000000000426,-0.8086907297086132,2041667.0,,tushare_legacy_get_k_data
600036.SH,20260129,36.877,37.647,36.547,37.527,36.797,0.730000000000004,1.9838573796777021,1999982.0,,tushare_legacy_get_k_data
600036.SH,20260130,37.527,38.167,37.527,37.667,37.527,0.14000000000000057,0.37306472673008917,1660843.0,,tushare_legacy_get_k_data
600036.SH,20260202,37.877,38.297,37.407,37.447,37.667,-0.21999999999999886,-0.5840656277378046,1384979.0,,tushare_legacy_get_k_data
600036.SH,20260203,37.667,37.667,37.137,37.297,37.447,-0.15000000000000568,-0.40056613346865083,842792.0,,tushare_legacy_get_k_data
600036.SH,20260204,37.297,38.017,37.257,38.007,37.297,0.7100000000000009,1.9036383623347746,1021316.0,,tushare_legacy_get_k_data
600036.SH,20260205,37.937,38.917,37.907,38.707,38.007,0.7000000000000028,1.8417659904754462,1218895.0,,tushare_legacy_get_k_data
600036.SH,20260206,38.697,38.947,38.307,38.597,38.707,-0.10999999999999943,-0.2841863228873316,802980.0,,tushare_legacy_get_k_data
600036.SH,20260209,38.597,38.737,38.327,38.477,38.597,-0.12000000000000455,-0.31090499261601817,658949.0,,tushare_legacy_get_k_data
600036.SH,20260210,38.487,38.557,38.307,38.337,38.477,-0.13999999999999346,-0.36385373080020134,495965.0,,tushare_legacy_get_k_data
600036.SH,20260211,38.357,38.447,38.197,38.397,38.337,0.05999999999999517,0.15650676891774307,528817.0,,tushare_legacy_get_k_data
600036.SH,20260212,38.397,38.417,37.727,37.987,38.397,-0.4099999999999966,-1.0677917545641498,777526.0,,tushare_legacy_get_k_data
600036.SH,20260213,37.947,38.087,37.627,37.707,37.987,-0.28000000000000114,-0.7370942690920608,705370.0,,tushare_legacy_get_k_data
600036.SH,20260224,38.197,38.407,37.817,37.937,37.707,0.22999999999999687,0.6099663192510592,754674.0,,tushare_legacy_get_k_data
