ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,data_source,rsi14,macd_dif,macd_dea,macd_hist,bb_middle,bb_upper,bb_lower,kdj_k,kdj_d,kdj_j
000776.SZ,20251223,21.61,22.26,21.48,21.91,21.6,0.3099999999999987,1.4351851851851791,714685.0,,tushare_legacy_get_k_data,54.38713929218147,-0.07708084329059162,-0.2104457540748788,0.2667298215685744,21.252,21.94800574710258,20.555994252897417,61.577115290871795,52.36268325443308,80.00597936374922
000776.SZ,20251224,21.88,22.13,21.82,22.1,21.91,0.1900000000000012,0.8671839342765919,425565.0,,tushare_legacy_get_k_data,56.57441882295375,-0.022934220024080076,-0.17294344726471908,0.300018454481278,21.302500000000002,22.085312238023796,20.519687761976208,69.67664559881096,58.134004035892374,92.76192872464813
000776.SZ,20251225,22.03,22.2,21.98,22.0,22.1,-0.1000000000000014,-0.4524886877828118,349671.0,,tushare_legacy_get_k_data,55.077419363072124,0.011772498717764535,-0.13600025806822236,0.2955455135719738,21.3485,22.180203673191254,20.51679632680875,72.62696618652835,62.964991419437695,91.95091572070965
000776.SZ,20251226,22.0,22.56,21.95,22.2,22.0,0.1999999999999993,0.909090909090906,633532.0,,tushare_legacy_get_k_data,57.49961430441316,0.054784628800771173,-0.09784328069442366,0.30525581899038967,21.401500000000002,22.305275967814936,20.49772403218507,73.11821726583904,66.3494000349048,86.6558517277075
000776.SZ,20251229,22.15,22.23,21.91,21.94,22.2,-0.259999999999998,-1.1711711711711623,383837.0,,tushare_legacy_get_k_data,53.46379067052241,0.06711852412163921,-0.06485091973121108,0.2639388877057006,21.4405,22.366274810631516,20.514725189368484,67.21070599497185,66.63650202159381,68.35911394172791
000776.SZ,20251230,21.89,22.2,21.85,21.96,21.94,0.0199999999999995,0.0911577028258868,395812.0,,tushare_legacy_get_k_data,53.7328089017146,0.07761239055113123,-0.03635825767474263,0.2279412964517477,21.4935,22.410762775871678,20.576237224128324,59.791846810103614,64.35495028443042,50.66563986145002
000776.SZ,20251231,21.92,22.48,21.92,22.02,21.96,0.0599999999999987,0.2732240437158411,464152.0,,tushare_legacy_get_k_data,54.58107765964578,0.08973593387279877,-0.01113941936523435,0.20175070647606624,21.5515,22.44765344668188,20.65534655331812,56.68080307217919,61.79690121368,46.448606789177575
000776.SZ,20260105,22.08,23.06,22.08,22.87,22.02,0.8500000000000014,3.860127157129888,975154.0,,tushare_legacy_get_k_data,64.50850987610416,0.1660180725564686,0.024292079019106242,0.28345198707472474,21.6475,22.66806601942246,20.62693398057754,67.11209656288743,63.568632996749145,74.19902369516402
000776.SZ,20260106,22.73,24.1,22.73,23.78,22.87,0.91,3.979011805859205,1121459.0,,tushare_legacy_get_k_data,71.65225264944756,0.29648392967265735,0.07873044914981646,0.43550696104568176,21.772,23.137102193976627,20.40689780602337,74.00348422258652,67.04691673869493,87.91661919036972
000776.SZ,20260107,23.79,23.8,22.95,23.16,23.78,-0.620000000000001,-2.607232968881417,848717.0,,tushare_legacy_get_k_data,62.43198184657796,0.3458633455936315,0.1321570284385795,0.42741263431010407,21.844500000000004,23.336820005896797,20.35217999410321,68.9262994232448,67.67337763354489,71.43214300264461
